EqpList,FmsList,DataType,DefaultValue
Recipe_Item118,Chamber2_Step04_Pusher_Count_SV,UInt16,0
Recipe_Item119,Chamber2_Step04_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item120,Chamber2_Step04_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item121,Chamber2_Step04_Pusher_End_Position_SV,UInt16,0
Recipe_Item122,Chamber2_Step05_Vacuum_Pressure_SV,UInt16,0
Recipe_Item123,Chamber2_Step05_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item124,Chamber2_Step05_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item125,Chamber2_Step05_Pusher_Count_SV,UInt16,0
Recipe_Item126,Chamber2_Step05_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item127,Chamber2_Step05_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item128,Chamber2_Step05_Pusher_End_Position_SV,UInt16,0
Recipe_Item129,Chamber2_Step06_Vacuum_Pressure_SV,UInt16,0
Recipe_Item130,Chamber2_Step06_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item131,Chamber2_Step06_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item132,Chamber2_Step06_Pusher_Count_SV,UInt16,0
Recipe_Item133,Chamber2_Step06_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item134,Chamber2_Step06_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item135,Chamber2_Step06_Pusher_End_Position_SV,UInt16,0
Recipe_Item136,Chamber2_Step07_Vacuum_Pressure_SV,UInt16,0
Recipe_Item137,Chamber2_Step07_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item138,Chamber2_Step07_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item139,Chamber2_Step07_Pusher_Count_SV,UInt16,0
Recipe_Item140,Chamber2_Step07_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item141,Chamber2_Step07_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item142,Chamber2_Step07_Pusher_End_Position_SV,UInt16,0
Recipe_Item143,Chamber2_Step08_Vacuum_Pressure_SV,UInt16,0
Recipe_Item144,Chamber2_Step08_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item145,Chamber2_Step08_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item146,Chamber2_Step08_Pusher_Count_SV,UInt16,0
Recipe_Item147,Chamber2_Step08_Pusher_Forward_Holding_Time_SV,UInt16,0
Recipe_Item148,Chamber2_Step08_Pusher_Backward_Holding_Time_SV,UInt16,0
Recipe_Item149,Chamber2_Step08_Pusher_End_Position_SV,UInt16,0
Recipe_Item150,Chamber2_Step09_Vacuum_Pressure_SV,UInt16,0
Recipe_Item151,Chamber2_Step09_Vacuum_Pressure_Holding_Time_SV,UInt16,0
Recipe_Item152,Chamber2_Step09_Pusher_Start_Delay_Time_SV,UInt16,0
Recipe_Item153,Chamber2_Step09_Pusher_Count_SV,UInt16,0
